character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
怊,chao1,8,8,9,-0.059,0,1,2,7,7,0,0.000,0.005,0.010,0.034,0.042,0.000,0.015,5.994,0.000,6.000,2.6250,2.8,2.5
钞,chao1,9,3701,586,0.727,212,104,195,746,1856,1177,0.660,0.507,0.933,3.604,11.048,13.078,4.972,5.224,10.804,4.928,2.6875,2.5,2.9
绰,chao1,11,914,681,0.146,279,53,77,238,495,451,0.869,0.259,0.368,1.150,2.946,5.011,1.767,5.558,9.582,4.975,3.1875,3.1,3.4
超,chao1,12,5289288,838488,0.726,542135,457677,758522,1961333,1805554,601175,1688.894,2232.571,3629.292,9475.039,10747.345,6679.722,5742.144,2.241,230.686,3.635,4.3750,3.5,3.9
焯,chao1,12,33321,5146,0.732,7859,3605,3333,5482,8883,9321,24.483,17.585,15.947,26.483,52.875,103.567,40.157,4.386,0.386,5.858,2.8750,2.8,3.3
晁,chao2,10,1791,165,0.831,105,72,140,310,564,766,0.327,0.351,0.670,1.498,3.357,8.511,2.452,5.462,0.900,5.721,3.4375,2.9,3.2
巢,chao2,11,393,124,0.520,123,43,72,122,122,35,0.383,0.210,0.344,0.589,0.726,0.389,0.440,5.842,27.525,4.545,2.5000,2.7,2.8
朝,chao2,12,2802255,1103856,0.435,1284376,757534,817760,530998,358454,157677,4001.171,3695.288,3912.727,2565.208,2133.655,1751.967,3010.003,2.521,284.643,3.544,4.0000,4.0,3.8
潮,chao2,15,223546,16760,0.861,65761,38592,36094,38359,43561,17639,204.863,188.254,172.699,185.309,259.292,195.989,201.068,3.695,133.125,3.872,3.1250,2.9,2.7
车,che1,4,6405,7427,-0.074,3737,2392,2820,2502,1914,469,11.642,11.668,13.493,12.087,11.393,5.211,10.916,4.924,600.349,3.221,3.0625,2.9,3.1
彻,che4,7,3050,313,0.814,447,202,211,328,538,1621,1.393,0.985,1.010,1.585,3.202,18.011,4.364,5.271,120.841,3.914,3.2500,2.8,3.4
澈,che4,15,4344,2059,0.357,258,218,429,1049,1885,2562,0.804,1.063,2.053,5.068,11.220,28.467,8.113,5.040,8.746,5.011,4.0625,3.8,3.7
郴,chen1,10,2501,819,0.507,136,203,342,765,987,885,0.424,0.990,1.636,3.696,5.875,9.833,3.742,5.324,0.450,5.839,3.6250,3.3,3.2
琛,chen1,12,177680,86023,0.348,20421,7675,20292,50396,95918,68935,63.617,37.439,97.091,243.459,570.940,765.944,296.415,3.527,1.608,5.584,4.3750,3.9,3.9
臣,chen2,6,1315806,62211,0.910,641319,301866,195132,123798,79218,38907,1997.879,1472.517,933.646,598.058,471.536,432.300,984.323,3.006,54.343,4.257,3.0000,3.1,3.3
尘,chen2,6,14800,6299,0.403,1696,768,1205,3129,8755,5631,5.283,3.746,5.766,15.116,52.113,62.567,24.099,4.600,50.292,4.290,2.0625,3.3,2.7
辰,chen2,7,399521,159184,0.430,67770,25415,21625,84320,134575,224955,211.121,123.976,103.469,407.343,801.042,2499.500,691.075,3.160,13.248,4.846,4.1875,3.6,3.8
沉,chen2,7,2877,5044,-0.274,1511,796,815,1987,2367,450,4.707,3.883,3.900,9.599,14.089,5.000,6.863,5.104,256.860,3.589,2.3750,2.7,2.9
忱,chen2,7,36516,8383,0.627,17984,7754,4803,5882,6081,2390,56.025,37.824,22.981,28.415,36.196,26.556,34.666,4.448,5.274,5.202,3.4375,3.4,2.9
陈,chen2,7,215129,187502,0.069,93371,27574,35860,78601,104533,62658,290.875,134.507,171.579,379.715,622.220,696.200,382.516,3.416,290.495,3.535,3.0625,2.7,2.9
宸,chen2,10,107931,30533,0.559,1426,583,1314,8662,35091,91397,4.442,2.844,6.287,41.845,208.875,1015.522,213.303,3.669,0.450,5.839,4.2500,3.6,3.2
晨,chen2,11,1136672,815879,0.164,27649,36921,72658,311776,786120,713577,86.134,180.102,347.646,1506.164,4679.286,7928.633,2454.661,2.610,65.662,4.176,4.6250,3.7,3.6
谌,chen2,11,682,308,0.378,69,42,59,289,294,237,0.215,0.205,0.282,1.396,1.750,2.633,1.080,5.682,0.322,5.879,3.5625,3.2,3.1
趁,chen4,12,6586,28576,-0.625,11328,8194,6932,5502,2482,552,35.290,39.971,33.167,26.580,14.774,6.133,25.986,4.569,27.075,4.552,2.2500,2.4,2.8
琤,cheng1,10,1429,3210,-0.384,430,399,1266,1616,687,246,1.340,1.946,6.057,7.807,4.089,2.733,3.995,5.301,0.386,5.858,3.5000,3.1,3.4
称,cheng1,10,7219,6199,0.076,2954,2021,1893,2988,2588,1058,9.202,9.859,9.057,14.435,15.405,11.756,11.619,4.899,486.903,3.312,2.6875,2.5,3.1
成,cheng2,6,11279627,2009329,0.698,4918990,2598346,2148822,1663787,1344459,614690,15323.956,12674.859,10281.445,8037.618,8002.732,6829.889,10191.750,1.992,3425.170,2.465,4.3125,3.6,3.8
丞,cheng2,6,54955,3717,0.873,577,548,1797,8471,17143,30152,1.798,2.673,8.598,40.923,102.042,335.022,81.843,4.082,5.659,5.177,3.8750,3.3,3.6
呈,cheng2,7,93865,28348,0.536,32804,14955,14009,21246,22443,16761,102.193,72.951,67.029,102.638,133.589,186.233,110.772,3.952,92.609,4.029,3.5000,3.0,3.5
枨,cheng2,8,411,90,0.641,31,12,25,76,143,209,0.097,0.059,0.120,0.367,0.851,2.322,0.636,5.786,0.000,6.000,2.6875,2.8,2.9
诚,cheng2,8,536683,43602,0.850,89473,47936,54771,99853,147547,140430,278.732,233.834,262.062,482.382,878.256,1560.333,615.933,3.210,92.737,4.028,4.6250,4.5,3.7
承,cheng2,8,1067757,314925,0.544,489819,236666,218158,175585,147012,115873,1525.916,1154.468,1043.818,848.237,875.071,1287.478,1122.498,2.949,240.461,3.617,4.0000,4.2,3.8
城,cheng2,9,742645,38616,0.901,137716,79776,93339,148760,189080,132775,429.022,389.151,446.598,718.647,1125.476,1475.278,764.029,3.116,430.116,3.365,3.5000,3.4,2.9
宬,cheng2,9,1073,264,0.605,7,16,55,283,397,579,0.022,0.078,0.263,1.367,2.363,6.433,1.754,5.560,0.000,6.000,3.3125,3.1,3.1
埕,cheng2,10,583,106,0.692,107,55,54,112,164,197,0.333,0.268,0.258,0.541,0.976,2.189,0.761,5.754,1.029,5.693,2.8125,2.8,2.5
乘,cheng2,10,11959,2344,0.672,1358,918,1448,2736,4282,3552,4.231,4.478,6.928,13.217,25.488,39.467,15.635,4.779,86.435,4.058,2.8750,2.8,2.9
珵,cheng2,11,369,629,-0.261,25,9,33,378,354,199,0.078,0.044,0.158,1.826,2.107,2.211,1.071,5.684,0.000,6.000,3.5625,3.2,3.1
铖,cheng2,11,61995,6562,0.809,472,708,2359,11491,26612,26869,1.470,3.454,11.287,55.512,158.405,298.544,88.112,4.050,0.000,6.000,3.6250,2.6,3.0
程,cheng2,12,758016,179524,0.617,55006,43972,74210,202266,330156,232109,171.358,214.498,355.072,977.130,1965.214,2578.989,1043.710,2.981,913.803,3.039,3.3125,3.2,3.1
澄,cheng2,15,51459,21985,0.401,14393,5150,6126,11318,17967,18517,44.838,25.122,29.311,54.676,106.946,205.744,77.773,4.104,15.949,4.771,3.6875,3.6,3.0
橙,cheng2,16,6286,6991,-0.053,387,279,524,2770,5347,3972,1.206,1.361,2.507,13.382,31.827,44.133,15.736,4.776,8.296,5.032,3.1250,3.4,2.6
骋,cheng3,10,14630,2136,0.745,193,429,1428,2888,6027,5797,0.601,2.093,6.833,13.952,35.875,64.411,20.628,4.665,3.987,5.302,4.1250,3.7,3.9
池,chi2,6,231479,89236,0.444,147175,52301,35115,28262,32206,26081,458.489,255.127,168.014,136.531,191.702,289.789,249.942,3.600,87.142,4.055,3.1875,3.1,2.8
弛,chi2,6,16315,4568,0.563,192,434,1191,3903,7422,7744,0.598,2.117,5.699,18.855,44.179,86.044,26.249,4.565,9.647,4.973,3.2500,3.4,3.2
驰,chi2,6,149894,23612,0.728,4427,5602,13932,25699,67133,56660,13.791,27.327,66.660,124.150,399.601,629.556,210.181,3.675,28.876,4.525,4.3750,3.0,3.5
迟,chi2,7,7189,3961,0.290,1376,1166,1363,2640,3481,1124,4.287,5.688,6.522,12.754,20.720,12.489,10.410,4.943,71.772,4.138,2.4375,2.8,2.4
墀,chi2,15,293,82,0.563,148,17,34,43,61,70,0.461,0.083,0.163,0.208,0.363,0.778,0.343,5.872,0.322,5.879,3.2500,2.7,2.9
赤,chi4,7,5377,6294,-0.079,3294,2551,1968,1913,1451,491,10.262,12.444,9.416,9.242,8.637,5.456,9.243,4.990,79.296,4.095,3.6875,3.2,3.3
炽,chi4,9,31042,1951,0.882,11277,4699,4021,5499,5222,2301,35.131,22.922,19.239,26.565,31.083,25.567,26.751,4.557,9.582,4.975,4.1875,3.3,3.5
冲,chong1,6,342204,46518,0.761,39990,31718,40600,122267,122089,32307,124.579,154.722,194.258,590.662,726.720,358.967,358.318,3.445,258.468,3.586,3.5000,2.7,3.3
充,chong1,6,6774,1195,0.700,965,564,933,2405,2229,877,3.006,2.751,4.464,11.618,13.268,9.744,7.475,5.072,348.119,3.457,3.1250,2.9,3.2
翀,chong1,10,25201,6308,0.600,343,1144,4214,9982,8430,7449,1.069,5.580,20.163,48.222,50.179,82.767,34.663,4.448,0.000,6.000,4.0000,2.9,3.6
憧,chong1,15,785,647,0.096,14,23,64,248,565,521,0.044,0.112,0.306,1.198,3.363,5.789,1.802,5.553,5.338,5.198,3.6875,3.3,3.3
虫,chong2,6,911,1052,-0.072,1090,307,224,154,118,61,3.396,1.498,1.072,0.744,0.702,0.678,1.348,5.629,227.599,3.641,1.6250,2.0,2.0
崇,chong2,11,655729,200477,0.532,327405,157079,132133,108528,85562,46159,1019.953,766.239,632.215,524.290,509.298,512.878,660.812,3.179,83.541,4.073,4.1875,3.7,3.8
宠,chong3,8,4788,2097,0.391,603,386,600,1757,2557,982,1.879,1.883,2.871,8.488,15.220,10.911,6.875,5.104,10.997,4.921,3.0625,3.0,2.8
铳,chong4,11,210,16,0.858,13,11,21,58,92,31,0.040,0.054,0.100,0.280,0.548,0.344,0.228,5.911,0.386,5.858,2.5625,3.0,3.1
仇,chou2,4,408,218,0.304,128,34,72,143,183,66,0.399,0.166,0.344,0.691,1.089,0.733,0.570,5.804,38.523,4.403,1.5625,1.7,2.4
俦,chou2,9,148,60,0.423,82,23,25,30,37,13,0.255,0.112,0.120,0.145,0.220,0.144,0.166,5.933,0.000,6.000,3.1250,2.6,2.6
畴,chou2,12,1914,153,0.852,973,301,247,249,209,100,3.031,1.468,1.182,1.203,1.244,1.111,1.540,5.595,28.490,4.530,3.1875,2.9,3.1
酬,chou2,13,379,247,0.211,200,90,67,103,118,47,0.623,0.439,0.321,0.498,0.702,0.522,0.518,5.819,31.320,4.491,3.1875,3.2,3.3
筹,chou2,13,1439,311,0.645,665,221,191,264,303,106,2.072,1.078,0.914,1.275,1.804,1.178,1.387,5.622,45.661,4.331,3.2500,3.3,3.2
初,chu1,7,417347,85158,0.661,264783,105468,68109,33517,19186,10997,824.869,514.478,325.880,161.918,114.202,122.189,343.923,3.462,380.081,3.419,3.8125,3.3,3.4
杵,chu3,8,343,79,0.626,233,67,28,33,35,26,0.726,0.327,0.134,0.159,0.208,0.289,0.307,5.884,1.222,5.653,2.5000,3.1,2.5
础,chu3,10,2529,412,0.720,1072,420,362,386,407,294,3.340,2.049,1.732,1.865,2.423,3.267,2.446,5.463,334.999,3.474,3.1250,2.9,2.7
储,chu3,12,5238,1190,0.630,856,444,520,871,1752,1997,2.667,2.166,2.488,4.208,10.429,22.189,7.358,5.078,62.447,4.198,3.3750,3.3,3.1
楚,chu3,13,335756,360955,-0.036,139451,86158,82835,93535,177094,116965,434.427,420.283,396.340,451.860,1054.131,1299.611,676.109,3.169,153.062,3.812,3.6250,3.7,3.4
褚,chu3,13,292,231,0.117,23,17,30,83,190,180,0.072,0.083,0.144,0.401,1.131,2.000,0.639,5.785,3.023,5.395,3.5625,3.1,3.3
川,chuan1,3,1118609,148579,0.765,224926,147567,171713,311544,296895,117410,700.704,719.839,821.593,1505.043,1767.232,1304.556,1136.495,2.944,102.191,3.986,3.6875,3.5,2.9
传,chuan2,6,2614816,1102966,0.407,1439612,827321,669587,429381,242047,108581,4484.773,4035.712,3203.766,2074.304,1440.756,1206.456,2740.961,2.562,749.937,3.124,3.1875,3.2,3.0
串,chuan4,7,2701,6409,-0.407,3137,1510,651,1604,1839,369,9.773,7.366,3.115,7.749,10.946,4.100,7.175,5.088,55.437,4.248,2.0000,2.7,2.5
闯,chuang3,6,237688,10305,0.917,5382,8558,25596,81625,95338,31498,16.766,41.746,122.469,394.324,567.488,349.978,248.795,3.602,29.969,4.509,3.4375,2.7,3.7
创,chuang4,6,187811,7230,0.926,27150,21044,29829,42923,49547,24534,84.579,102.654,142.722,207.357,294.923,272.600,184.139,3.733,523.175,3.281,3.8750,3.4,4.0
吹,chui1,7,422,488,-0.073,187,77,100,223,253,70,0.583,0.376,0.478,1.077,1.506,0.778,0.800,5.745,102.062,3.987,1.8125,2.4,2.2
炊,chui1,8,72,43,0.252,8,7,7,34,43,16,0.025,0.034,0.033,0.164,0.256,0.178,0.115,5.953,12.284,4.877,1.9375,2.9,2.3
垂,chui2,8,26297,6294,0.614,10638,5952,5190,4636,3804,2347,33.140,29.034,24.833,22.396,22.643,26.078,26.354,4.563,93.187,4.026,2.3750,2.9,2.7
春,chun1,9,8840099,13237704,-0.199,5891938,4783710,5313386,3835199,1755250,500580,18354.947,23335.171,25422.900,18527.531,10447.917,5562.000,16941.744,1.771,305.609,3.513,4.2500,4.0,2.9
椿,chun1,13,20338,7262,0.474,7380,2366,3098,4300,5704,4778,22.991,11.541,14.823,20.773,33.952,53.089,26.195,4.566,3.151,5.382,3.5000,3.7,2.6
纯,chun2,7,441862,480087,-0.041,303634,145654,127057,128042,152196,66401,945.900,710.507,607.928,618.560,905.929,737.789,754.436,3.122,138.527,3.855,4.4375,4.2,2.9
莼,chun2,10,131,1322,-0.820,65,56,127,175,371,660,0.202,0.273,0.608,0.845,2.208,7.333,1.912,5.536,1.543,5.595,4.0000,3.9,2.7
淳,chun2,11,72124,41007,0.275,11317,6070,7431,15091,30629,42667,35.255,29.610,35.555,72.903,182.315,474.078,138.286,3.856,8.682,5.014,4.5000,3.9,3.4
醇,chun2,15,824,705,0.078,60,54,87,289,572,467,0.187,0.263,0.416,1.396,3.405,5.189,1.809,5.551,19.551,4.687,3.6250,3.8,3.0
词,ci2,7,2884,2578,0.056,819,588,780,1007,1319,947,2.551,2.868,3.732,4.865,7.851,10.522,5.398,5.194,291.074,3.535,3.3125,3.1,3.0
祠,ci2,9,230,72,0.523,127,41,27,40,40,26,0.396,0.200,0.129,0.193,0.238,0.289,0.241,5.906,7.782,5.056,3.0000,2.9,3.2
辞,ci2,13,1336,1545,-0.073,234,251,443,826,769,365,0.729,1.224,2.120,3.990,4.577,4.056,2.783,5.422,63.861,4.188,2.6875,3.1,3.3
慈,ci2,13,42968,126705,-0.494,60113,27318,22658,19887,21330,18362,187.268,133.259,108.411,96.072,126.964,204.022,142.666,3.843,29.519,4.515,4.2500,4.0,2.8
次,ci4,6,10451,6529,0.231,6908,2888,2615,2334,1743,509,21.520,14.088,12.512,11.275,10.375,5.656,12.571,4.867,1020.689,2.991,2.0000,2.4,2.3
赐,ci4,12,87952,7251,0.848,16613,5669,4967,8655,22727,36527,51.754,27.654,23.766,41.812,135.280,405.856,114.354,3.938,16.207,4.764,3.3125,3.1,2.8
枞,cong1,8,899,483,0.301,250,92,96,221,420,303,0.779,0.449,0.459,1.068,2.500,3.367,1.437,5.613,0.000,6.000,2.8125,2.7,2.6
葱,cong1,12,2744,12353,-0.636,5185,1759,1766,2725,3246,416,16.153,8.580,8.450,13.164,19.321,4.622,11.715,4.896,16.657,4.753,2.0000,2.6,2.4
骢,cong1,14,1502,231,0.733,46,48,116,268,704,558,0.143,0.234,0.555,1.295,4.190,6.200,2.103,5.508,0.000,6.000,3.5625,3.3,3.6
璁,cong1,15,945,568,0.249,35,32,57,343,525,521,0.109,0.156,0.273,1.657,3.125,5.789,1.852,5.545,0.000,6.000,3.6250,3.4,3.4
聪,cong1,15,1069222,528771,0.338,183622,144543,175634,340359,523380,229997,572.031,705.088,840.354,1644.246,3115.357,2555.522,1572.100,2.803,41.545,4.371,4.6250,3.6,3.9
从,cong2,4,627210,406122,0.214,451509,240590,187269,94404,45738,13246,1406.570,1173.610,896.024,456.058,272.250,147.178,725.282,3.139,2109.162,2.676,2.8750,2.9,2.7
丛,cong2,5,80260,105961,-0.138,45147,30612,28410,42454,30486,9218,140.645,149.327,135.933,205.092,181.464,102.422,152.481,3.814,48.555,4.305,3.4375,3.3,3.0
淙,cong2,11,2303,791,0.489,184,133,211,710,918,935,0.573,0.649,1.010,3.430,5.464,10.389,3.586,5.339,3.730,5.325,3.7500,3.6,3.2
琮,cong2,12,8743,2530,0.551,2187,697,961,2202,2751,2477,6.813,3.400,4.598,10.638,16.375,27.522,11.558,4.901,0.579,5.802,3.9375,3.3,3.6
凑,cou4,11,313,296,0.028,240,72,52,106,86,15,0.748,0.351,0.249,0.512,0.512,0.167,0.423,5.847,32.863,4.470,1.8750,2.4,2.4
粗,cu1,11,2,1,0.333,2,0,0,1,0,0,0.006,0.000,0.000,0.005,0.000,0.000,0.002,5.999,110.616,3.952,1.6875,1.9,1.8
崔,cui1,11,2139,12533,-0.708,10268,641,579,1308,1315,563,31.988,3.127,2.770,6.319,7.827,6.256,9.715,4.970,21.609,4.646,3.1875,3.0,2.7
璀,cui3,15,1211,2467,-0.341,143,129,430,1494,1012,470,0.445,0.629,2.057,7.217,6.024,5.222,3.599,5.337,1.608,5.584,4.0625,3.4,3.6
萃,cui4,11,1610,19572,-0.848,3417,1996,2333,7202,4690,1539,10.645,9.737,11.163,34.792,27.917,17.100,18.559,4.709,4.952,5.225,4.2500,3.7,3.6
粹,cui4,14,689,877,-0.120,630,166,177,255,224,114,1.963,0.810,0.847,1.232,1.333,1.267,1.242,5.649,23.024,4.619,3.8125,3.4,3.8
翠,cui4,14,77218,7421584,-0.979,2893023,1859549,1339951,951888,389779,67413,9012.533,9070.971,6411.249,4598.493,2320.113,749.033,5360.399,2.271,41.481,4.372,3.9375,3.7,3.1
村,cun1,7,33931,8105,0.614,14291,6522,6644,7157,5537,1883,44.520,31.815,31.789,34.575,32.958,20.922,32.763,4.472,370.370,3.430,2.5000,2.8,2.2
存,cun2,6,1149087,703633,0.240,789912,439026,315813,182813,91279,33674,2460.785,2141.590,1511.067,883.155,543.327,374.156,1319.013,2.879,594.689,3.225,3.0625,3.2,3.2
措,cuo4,11,15967,61574,-0.588,14410,10151,16281,16888,14126,5543,44.891,49.517,77.900,81.585,84.083,61.589,66.594,4.170,111.388,3.949,2.8125,3.0,3.2
达,da2,6,1410018,147601,0.810,460978,199572,188048,234100,313591,162192,1436.069,973.522,899.751,1130.918,1866.613,1802.133,1351.501,2.869,663.631,3.177,3.9375,3.8,4.0
妲,da2,8,152,3698,-0.921,198,110,519,1448,1259,343,0.617,0.537,2.483,6.995,7.494,3.811,3.656,5.332,0.000,6.000,2.8125,3.0,2.8
笪,da2,11,1,0,1.000,0,0,1,0,0,0,0.000,0.000,0.005,0.000,0.000,0.000,0.001,6.000,0.000,6.000,3.0000,2.9,2.7
大,da4,3,3037725,1383096,0.374,1742157,817740,766699,641600,349984,103281,5427.280,3988.976,3668.416,3099.517,2083.238,1147.567,3235.832,2.490,5841.421,2.233,3.2500,3.3,2.8
代,dai4,5,637041,457264,0.164,439747,244884,207350,114003,64162,21788,1369.928,1194.556,992.105,550.739,381.917,242.089,788.556,3.103,1402.378,2.853,3.4375,3.1,2.9
岱,dai4,8,23025,9463,0.417,7838,3365,4339,5498,6661,4795,24.417,16.415,20.761,26.560,39.649,53.278,30.180,4.506,7.203,5.086,4.2500,3.1,3.2
玳,dai4,9,355,706,-0.331,213,70,59,160,217,340,0.664,0.341,0.282,0.773,1.292,3.778,1.188,5.660,6.045,5.152,3.9375,3.5,3.2
带,dai4,9,11112,110552,-0.817,65177,23892,14245,11982,5460,801,203.044,116.546,68.158,57.884,32.500,8.900,81.172,4.085,733.602,3.134,2.5625,2.9,2.7
戴,dai4,17,4099,4087,0.001,1452,767,755,1554,1980,1681,4.523,3.741,3.612,7.507,11.786,18.678,8.308,5.031,87.271,4.054,3.1250,3.1,2.9
黛,dai4,17,217,12643,-0.966,1930,1072,1321,2838,4079,1629,6.012,5.229,6.321,13.710,24.280,18.100,12.275,4.877,5.402,5.194,4.1250,3.2,3.5
丹,dan1,4,303899,3630777,-0.846,101608,123218,314385,1552373,1459742,382912,316.536,601.063,1504.234,7499.386,8688.940,4254.578,3810.790,2.419,71.386,4.140,4.5000,3.7,3.2
单,dan1,8,11494,49266,-0.622,3103,2116,3398,27998,21163,3036,9.667,10.322,16.258,135.256,125.970,33.733,55.201,4.250,627.295,3.202,3.0625,2.7,3.2
眈,dan1,9,9,11,-0.100,1,1,3,10,5,0,0.003,0.005,0.014,0.048,0.030,0.000,0.017,5.993,1.994,5.524,2.6875,2.5,3.2
聃,dan1,11,3963,3750,0.028,32,153,669,3114,2589,1158,0.100,0.746,3.201,15.043,15.411,12.867,7.895,5.051,0.000,6.000,3.5625,3.3,3.2
儋,dan1,15,33,49,-0.195,6,5,15,19,25,12,0.019,0.024,0.072,0.092,0.149,0.133,0.082,5.966,0.000,6.000,3.1250,2.7,3.0
旦,dan4,5,108972,48912,0.380,49144,21286,18654,29196,32981,5557,153.097,103.834,89.254,141.043,196.315,61.744,124.215,3.902,69.649,4.151,3.7500,3.1,3.3
诞,dan4,8,516,325,0.227,38,29,62,282,293,137,0.118,0.141,0.297,1.362,1.744,1.522,0.864,5.730,37.815,4.411,3.2500,3.3,3.1
淡,dan4,11,3313,9551,-0.485,5907,2407,1664,1403,1119,388,18.402,11.741,7.962,6.778,6.661,4.311,9.309,4.987,101.291,3.990,2.9375,2.8,3.0
澹,dan4,16,161,160,0.003,38,8,31,75,103,66,0.118,0.039,0.148,0.362,0.613,0.733,0.336,5.874,1.093,5.679,3.6875,3.0,3.0
铛,dang1,11,324,355,-0.046,28,6,32,194,261,158,0.087,0.029,0.153,0.937,1.554,1.756,0.753,5.756,1.672,5.573,2.4375,2.6,2.9
党,dang3,10,81970,25894,0.520,23293,29903,34972,13788,4804,1093,72.564,145.868,167.330,66.609,28.595,12.144,82.185,4.080,754.632,3.122,3.3125,3.3,3.2
档,dang4,10,577,777,-0.148,215,151,177,410,330,69,0.670,0.737,0.847,1.981,1.964,0.767,1.161,5.665,25.210,4.582,2.6250,2.7,2.6
刀,dao1,2,1470,897,0.242,703,267,364,445,437,152,2.190,1.302,1.742,2.150,2.601,1.689,1.946,5.531,108.622,3.960,1.8125,1.9,2.6
叨,dao1,5,239,78,0.508,69,17,28,89,96,18,0.215,0.083,0.134,0.430,0.571,0.200,0.272,5.896,12.605,4.866,1.7500,2.1,2.1
岛,dao3,7,3673,442,0.785,234,334,715,1597,948,200,0.729,1.629,3.421,7.715,5.643,2.222,3.560,5.341,128.945,3.886,2.7500,2.8,2.8
道,dao4,12,1654721,610386,0.461,1005755,497101,386257,216697,116269,43974,3133.193,2424.883,1848.120,1046.845,692.077,488.600,1605.620,2.794,1601.358,2.795,3.8750,3.8,3.4
的,de,8,5522,18104,-0.533,12597,3435,2808,2159,2146,492,39.243,16.756,13.435,10.430,12.774,5.467,16.351,4.761,48866.123,1.311,2.1250,2.5,2.2
得,de2,11,561013,148359,0.582,291919,153902,117367,78137,48710,19570,909.405,750.741,561.565,377.473,289.940,217.444,517.761,3.285,2977.433,2.526,3.1875,3.4,3.3
德,de2,15,11382591,3034488,0.579,6883894,3055506,2175625,1243788,737643,317369,21445.153,14904.907,10409.689,6008.638,4390.732,3526.322,10114.240,1.995,509.541,3.292,4.8125,4.5,3.6
灯,deng1,6,61854,15226,0.605,25179,13616,12787,13054,9738,2726,78.439,66.420,61.182,63.063,57.964,30.289,59.560,4.218,193.964,3.710,2.8125,3.3,2.9
登,deng1,12,904287,346862,0.446,471509,236894,219563,161076,119630,42434,1468.875,1155.580,1050.541,778.145,712.083,471.489,939.452,3.027,133.061,3.873,3.6875,3.3,3.7
等,deng3,12,2886,7075,-0.421,2885,1354,1470,2189,1755,305,8.988,6.605,7.033,10.575,10.446,3.389,7.839,5.054,2081.380,2.681,2.6250,3.0,2.5
邓,deng4,4,15651,11294,0.162,8365,2493,2952,5320,5367,2492,26.059,12.161,14.124,25.700,31.946,27.689,22.947,4.621,54.986,4.252,3.2500,3.1,2.8
堤,di1,12,3968,1198,0.536,1379,731,864,1026,771,416,4.296,3.566,4.134,4.957,4.589,4.622,4.361,5.271,24.374,4.596,2.8125,3.2,3.1
狄,di2,7,12847,2835,0.638,872,737,1479,3801,5715,3075,2.717,3.595,7.077,18.362,34.018,34.167,16.656,4.753,9.518,4.978,3.3750,3.0,3.3
迪,di2,8,460857,405047,0.064,82779,40445,49399,174401,344002,174940,257.879,197.293,236.359,842.517,2047.631,1943.778,920.910,3.035,24.503,4.593,4.1875,3.7,3.6
荻,di2,10,3289,8809,-0.456,351,482,922,2368,4965,3013,1.093,2.351,4.411,11.440,29.554,33.478,13.721,4.832,0.386,5.858,3.3750,3.3,3.3
敌,di2,10,3184,438,0.758,309,262,419,986,1369,279,0.963,1.278,2.005,4.763,8.149,3.100,3.376,5.359,271.588,3.564,1.6250,1.6,2.6
涤,di2,10,5052,2663,0.310,2269,1222,1406,1170,1044,665,7.069,5.961,6.727,5.652,6.214,7.389,6.502,5.125,12.669,4.864,2.6250,3.0,2.8
笛,di2,11,24310,39101,-0.233,889,1056,3254,13857,29141,15202,2.769,5.151,15.569,66.942,173.458,168.911,72.133,4.136,16.335,4.761,3.6875,3.7,3.0
嫡,di2,14,83,1150,-0.865,13,24,79,283,497,337,0.040,0.117,0.378,1.367,2.958,3.744,1.434,5.614,3.151,5.382,2.8750,3.1,3.2
镝,di2,16,3272,1239,0.451,110,975,1331,789,865,441,0.343,4.756,6.368,3.812,5.149,4.900,4.221,5.282,0.000,6.000,2.5625,2.6,3.4
邸,di3,7,61,51,0.089,4,3,6,27,57,15,0.012,0.015,0.029,0.130,0.339,0.167,0.115,5.953,2.701,5.432,2.8750,2.9,2.8
砥,di3,10,884,103,0.791,239,141,190,192,177,48,0.745,0.688,0.909,0.928,1.054,0.533,0.810,5.742,1.415,5.617,3.0000,2.5,3.3
地,di4,6,87147,44182,0.327,52807,22159,18387,17560,14564,5903,164.508,108.093,87.976,84.831,86.690,65.589,99.615,3.997,5374.840,2.270,2.3750,2.7,2.6
弟,di4,7,444468,487850,-0.047,368356,159051,117187,129558,121041,37973,1147.526,775.859,560.703,625.884,720.482,421.922,708.729,3.149,187.790,3.724,2.5625,3.3,2.6
帝,di4,9,46229,6922,0.740,10407,5274,5001,9914,14384,8071,32.421,25.727,23.928,47.894,85.619,89.678,50.878,4.285,265.543,3.574,3.6250,3.0,3.6
娣,di4,10,22018,2319260,-0.981,1274570,452714,285105,205629,98345,18650,3970.623,2208.361,1364.139,993.377,585.387,207.222,1554.852,2.808,4.373,5.270,3.3750,3.2,2.9
第,di4,11,7136,2118,0.542,3913,922,899,1375,1380,768,12.190,4.498,4.301,6.643,8.214,8.533,7.397,5.076,1164.104,2.934,2.9375,2.9,2.9
