surname,compound,initial,initial.rank,n.1930_2008,ppm.1930_2008,surname.uniqueness
亿,0,y,25,5,0.004,5.998
寅,0,y,25,5,0.004,5.998
酉,0,y,25,5,0.004,5.998
仔,0,z,26,5,0.004,5.998
旃,0,z,26,5,0.004,5.998
知,0,z,26,5,0.004,5.998
洲,0,z,26,5,0.004,5.998
皱,0,z,26,5,0.004,5.998
猪,0,z,26,5,0.004,5.998
坝,0,b,2,4,0.003,5.999
笨,0,b,2,4,0.003,5.999
彼,0,b,2,4,0.003,5.999
璨,0,c,3,4,0.003,5.999
察,0,c,3,4,0.003,5.999
宸,0,c,3,4,0.003,5.999
澄,0,c,3,4,0.003,5.999
带,0,d,4,4,0.003,5.999
黛,0,d,4,4,0.003,5.999
帝,0,d,4,4,0.003,5.999
鼎,0,d,4,4,0.003,5.999
东郭,1,d,4,4,0.003,5.999
冻,0,d,4,4,0.003,5.999
兑,0,d,4,4,0.003,5.999
墩,0,d,4,4,0.003,5.999
笱,0,g,7,4,0.003,5.999
伙,0,h,8,4,0.003,5.999
祭,0,j,10,4,0.003,5.999
捷,0,j,10,4,0.003,5.999
竟,0,j,10,4,0.003,5.999
莒,0,j,10,4,0.003,5.999
楷,0,k,11,4,0.003,5.999
岚,0,l,12,4,0.003,5.999
离,0,l,12,4,0.003,5.999
烈,0,l,12,4,0.003,5.999
珑,0,l,12,4,0.003,5.999
庐,0,l,12,4,0.003,5.999
祃,0,m,13,4,0.003,5.999
茂,0,m,13,4,0.003,5.999
每,0,m,13,4,0.003,5.999
呢,0,n,14,4,0.003,5.999
墙,0,q,17,4,0.003,5.999
巧,0,q,17,4,0.003,5.999
榕,0,r,18,4,0.003,5.999
体,0,t,20,4,0.003,5.999
隰,0,x,24,4,0.003,5.999
宪,0,x,24,4,0.003,5.999
筵,0,y,25,4,0.003,5.999
垚,0,y,25,4,0.003,5.999
滢,0,y,25,4,0.003,5.999
嬴,0,y,25,4,0.003,5.999
用,0,y,25,4,0.003,5.999
裕,0,y,25,4,0.003,5.999
玥,0,y,25,4,0.003,5.999
增,0,z,26,4,0.003,5.999
昭,0,z,26,4,0.003,5.999
召,0,z,26,4,0.003,5.999
针,0,z,26,4,0.003,5.999
子桑,1,z,26,4,0.003,5.999
鞍,0,a,1,3,0.003,5.999
拔,0,b,2,3,0.003,5.999
报,0,b,2,3,0.003,5.999
衬,0,c,3,3,0.003,5.999
虫,0,c,3,3,0.003,5.999
矗,0,c,3,3,0.003,5.999
藩,0,f,6,3,0.003,5.999
感,0,g,7,3,0.003,5.999
公坚,1,g,7,3,0.003,5.999
公上,1,g,7,3,0.003,5.999
滚,0,g,7,3,0.003,5.999
晗,0,h,8,3,0.003,5.999
葫,0,h,8,3,0.003,5.999
棘,0,j,10,3,0.003,5.999
藉,0,j,10,3,0.003,5.999
监,0,j,10,3,0.003,5.999
荐,0,j,10,3,0.003,5.999
觉,0,j,10,3,0.003,5.999
竞,0,j,10,3,0.003,5.999
局,0,j,10,3,0.003,5.999
骏,0,j,10,3,0.003,5.999
咖,0,k,11,3,0.003,5.999
澜,0,l,12,3,0.003,5.999
聊,0,l,12,3,0.003,5.999
陇,0,l,12,3,0.003,5.999
轮,0,l,12,3,0.003,5.999
迈,0,m,13,3,0.003,5.999
漫,0,m,13,3,0.003,5.999
祈,0,q,17,3,0.003,5.999
祺,0,q,17,3,0.003,5.999
穰,0,r,18,3,0.003,5.999
洒,0,s,19,3,0.003,5.999
升,0,s,19,3,0.003,5.999
受,0,s,19,3,0.003,5.999
姝,0,s,19,3,0.003,5.999
寺,0,s,19,3,0.003,5.999
姒,0,s,19,3,0.003,5.999
肆,0,s,19,3,0.003,5.999
糖,0,t,20,3,0.003,5.999
万俟,1,w,23,3,0.003,5.999
巍,0,w,23,3,0.003,5.999
缐,0,x,24,3,0.003,5.999
霄,0,x,24,3,0.003,5.999
又,0,y,25,3,0.003,5.999
瑜,0,y,25,3,0.003,5.999
语,0,y,25,3,0.003,5.999
园,0,y,25,3,0.003,5.999
责,0,z,26,3,0.003,5.999
轧,0,z,26,3,0.003,5.999
遮,0,z,26,3,0.003,5.999
喆,0,z,26,3,0.003,5.999
臻,0,z,26,3,0.003,5.999
朕,0,z,26,3,0.003,5.999
指,0,z,26,3,0.003,5.999
陟,0,z,26,3,0.003,5.999
致,0,z,26,3,0.003,5.999
澳,0,a,1,2,0.002,5.999
蚌,0,b,2,2,0.002,5.999
差,0,c,3,2,0.002,5.999
筹,0,c,3,2,0.002,5.999
川,0,c,3,2,0.002,5.999
聃,0,d,4,2,0.002,5.999
澹台,1,t,20,2,0.002,5.999
到,0,d,4,2,0.002,5.999
迭,0,d,4,2,0.002,5.999
陡,0,d,4,2,0.002,5.999
嘟,0,d,4,2,0.002,5.999
读,0,d,4,2,0.002,5.999
儿,0,e,5,2,0.002,5.999
反,0,f,6,2,0.002,5.999
梵,0,f,6,2,0.002,5.999
放,0,f,6,2,0.002,5.999
翡,0,f,6,2,0.002,5.999
服,0,f,6,2,0.002,5.999
憨,0,h,8,2,0.002,5.999
号,0,h,8,2,0.002,5.999
禾,0,h,8,2,0.002,5.999
轷,0,h,8,2,0.002,5.999
狐,0,h,8,2,0.002,5.999
浣,0,h,8,2,0.002,5.999
翚,0,h,8,2,0.002,5.999
混,0,h,8,2,0.002,5.999
基,0,j,10,2,0.002,5.999
济,0,j,10,2,0.002,5.999
寂,0,j,10,2,0.002,5.999
谨,0,j,10,2,0.002,5.999
精,0,j,10,2,0.002,5.999
菊,0,j,10,2,0.002,5.999
炕,0,k,11,2,0.002,5.999
葵,0,k,11,2,0.002,5.999
锟,0,k,11,2,0.002,5.999
陵,0,l,12,2,0.002,5.999
漏,0,l,12,2,0.002,5.999
孪,0,l,12,2,0.002,5.999
侣,0,l,12,2,0.002,5.999
峁,0,m,13,2,0.002,5.999
煤,0,m,13,2,0.002,5.999
魅,0,m,13,2,0.002,5.999
檬,0,m,13,2,0.002,5.999
民,0,m,13,2,0.002,5.999
末,0,m,13,2,0.002,5.999
貊,0,m,13,2,0.002,5.999
泥,0,n,14,2,0.002,5.999
女,0,n,14,2,0.002,5.999
讴,0,o,15,2,0.002,5.999
鸥,0,o,15,2,0.002,5.999
牌,0,p,16,2,0.002,5.999
蓬,0,p,16,2,0.002,5.999
颇,0,p,16,2,0.002,5.999
仆,0,p,16,2,0.002,5.999
淇,0,q,17,2,0.002,5.999
骑,0,q,17,2,0.002,5.999
汽,0,q,17,2,0.002,5.999
茄,0,q,17,2,0.002,5.999
且,0,q,17,2,0.002,5.999
怯,0,q,17,2,0.002,5.999
苫,0,s,19,2,0.002,5.999
仕,0,s,19,2,0.002,5.999
司寇,1,s,19,2,0.002,5.999
徒,0,t,20,2,0.002,5.999
歪,0,w,23,2,0.002,5.999
碗,0,w,23,2,0.002,5.999
往,0,w,23,2,0.002,5.999
洗,0,x,24,2,0.002,5.999
系,0,x,24,2,0.002,5.999
显,0,x,24,2,0.002,5.999
霰,0,x,24,2,0.002,5.999
骁,0,x,24,2,0.002,5.999
协,0,x,24,2,0.002,5.999
凶,0,x,24,2,0.002,5.999
雄,0,x,24,2,0.002,5.999
戌,0,x,24,2,0.002,5.999
铉,0,x,24,2,0.002,5.999
崖,0,y,25,2,0.002,5.999
琰,0,y,25,2,0.002,5.999
烨,0,y,25,2,0.002,5.999
壹,0,y,25,2,0.002,5.999
倚,0,y,25,2,0.002,5.999
邑,0,y,25,2,0.002,5.999
茵,0,y,25,2,0.002,5.999
幽,0,y,25,2,0.002,5.999
佑,0,y,25,2,0.002,5.999
育,0,y,25,2,0.002,5.999
郧,0,y,25,2,0.002,5.999
乍,0,z,26,2,0.002,5.999
住,0,z,26,2,0.002,5.999
爸,0,b,2,1,0.001,6.000
佰,0,b,2,1,0.001,6.000
倍,0,b,2,1,0.001,6.000
崩,0,b,2,1,0.001,6.000
逼,0,b,2,1,0.001,6.000
弁,0,b,2,1,0.001,6.000
滨,0,b,2,1,0.001,6.000
缠,0,c,3,1,0.001,6.000
彻,0,c,3,1,0.001,6.000
臣,0,c,3,1,0.001,6.000
趁,0,c,3,1,0.001,6.000
瘳,0,c,3,1,0.001,6.000
础,0,c,3,1,0.001,6.000
锤,0,c,3,1,0.001,6.000
醋,0,c,3,1,0.001,6.000
达奚,1,d,4,1,0.001,6.000
歹,0,d,4,1,0.001,6.000
郸,0,d,4,1,0.001,6.000
甸,0,d,4,1,0.001,6.000
雕,0,d,4,1,0.001,6.000
兜,0,d,4,1,0.001,6.000
度,0,d,4,1,0.001,6.000
哆,0,d,4,1,0.001,6.000
掇,0,d,4,1,0.001,6.000
夺,0,d,4,1,0.001,6.000
铎,0,d,4,1,0.001,6.000
恶,0,e,5,1,0.001,6.000
耳,0,e,5,1,0.001,6.000
帆,0,f,6,1,0.001,6.000
纺,0,f,6,1,0.001,6.000
分,0,f,6,1,0.001,6.000
苻,0,f,6,1,0.001,6.000
附,0,f,6,1,0.001,6.000
复,0,f,6,1,0.001,6.000
副,0,f,6,1,0.001,6.000
馥,0,f,6,1,0.001,6.000
跟,0,g,7,1,0.001,6.000
公仪,1,g,7,1,0.001,6.000
恭,0,g,7,1,0.001,6.000
孤,0,g,7,1,0.001,6.000
骨,0,g,7,1,0.001,6.000
莞,0,w,23,1,0.001,6.000
函,0,h,8,1,0.001,6.000
瀚,0,h,8,1,0.001,6.000
斛,0,h,8,1,0.001,6.000
桦,0,h,8,1,0.001,6.000
徽,0,h,8,1,0.001,6.000
汇,0,h,8,1,0.001,6.000
浑,0,h,8,1,0.001,6.000
货,0,h,8,1,0.001,6.000
极,0,j,10,1,0.001,6.000
即,0,j,10,1,0.001,6.000
剪,0,j,10,1,0.001,6.000
骄,0,j,10,1,0.001,6.000
绞,0,j,10,1,0.001,6.000
叫,0,j,10,1,0.001,6.000
桀,0,j,10,1,0.001,6.000
婕,0,j,10,1,0.001,6.000
界,0,j,10,1,0.001,6.000
今,0,j,10,1,0.001,6.000
进,0,j,10,1,0.001,6.000
璟,0,j,10,1,0.001,6.000
举,0,j,10,1,0.001,6.000
涓,0,j,10,1,0.001,6.000
郡,0,j,10,1,0.001,6.000
咔,0,k,11,1,0.001,6.000
坑,0,k,11,1,0.001,6.000
口,0,k,11,1,0.001,6.000
魁,0,k,11,1,0.001,6.000
垃,0,l,12,1,0.001,6.000
篮,0,l,12,1,0.001,6.000
莅,0,l,12,1,0.001,6.000
炼,0,l,12,1,0.001,6.000
寮,0,l,12,1,0.001,6.000
羚,0,l,12,1,0.001,6.000
琉,0,l,12,1,0.001,6.000
泷,0,l,12,1,0.001,6.000
旅,0,l,12,1,0.001,6.000
慢,0,m,13,1,0.001,6.000
忙,0,m,13,1,0.001,6.000
鸣,0,m,13,1,0.001,6.000
茗,0,m,13,1,0.001,6.000
谬,0,m,13,1,0.001,6.000
沫,0,m,13,1,0.001,6.000
幕,0,m,13,1,0.001,6.000
奈,0,n,14,1,0.001,6.000
辇,0,n,14,1,0.001,6.000
廿,0,n,14,1,0.001,6.000
尿,0,n,14,1,0.001,6.000
柠,0,n,14,1,0.001,6.000
纽,0,n,14,1,0.001,6.000
弄,0,n,14,1,0.001,6.000
糯,0,n,14,1,0.001,6.000
偶,0,o,15,1,0.001,6.000
藕,0,o,15,1,0.001,6.000
蟠,0,p,16,1,0.001,6.000
屁,0,p,16,1,0.001,6.000
谱,0,p,16,1,0.001,6.000
期,0,q,17,1,0.001,6.000
却,0,q,17,1,0.001,6.000
苒,0,r,18,1,0.001,6.000
褥,0,r,18,1,0.001,6.000
色,0,s,19,1,0.001,6.000
鄯,0,s,19,1,0.001,6.000
裳,0,s,19,1,0.001,6.000
韶,0,s,19,1,0.001,6.000
伸,0,s,19,1,0.001,6.000
什,0,s,19,1,0.001,6.000
审,0,s,19,1,0.001,6.000
晟,0,s,19,1,0.001,6.000
式,0,s,19,1,0.001,6.000
数,0,s,19,1,0.001,6.000
穗,0,s,19,1,0.001,6.000
她,0,t,20,1,0.001,6.000
沓,0,t,20,1,0.001,6.000
棠,0,t,20,1,0.001,6.000
调,0,t,20,1,0.001,6.000
霆,0,t,20,1,0.001,6.000
豌,0,w,23,1,0.001,6.000
唯,0,w,23,1,0.001,6.000
玮,0,w,23,1,0.001,6.000
炜,0,w,23,1,0.001,6.000
慰,0,w,23,1,0.001,6.000
蚊,0,w,23,1,0.001,6.000
悟,0,w,23,1,0.001,6.000
昔,0,x,24,1,0.001,6.000
悉,0,x,24,1,0.001,6.000
现,0,x,24,1,0.001,6.000
象,0,x,24,1,0.001,6.000
哓,0,x,24,1,0.001,6.000
形,0,x,24,1,0.001,6.000
性,0,x,24,1,0.001,6.000
休,0,x,24,1,0.001,6.000
暄,0,x,24,1,0.001,6.000
炫,0,x,24,1,0.001,6.000
押,0,y,25,1,0.001,6.000
胭,0,y,25,1,0.001,6.000
演,0,y,25,1,0.001,6.000
夭,0,y,25,1,0.001,6.000
绎,0,y,25,1,0.001,6.000
逸,0,y,25,1,0.001,6.000
熠,0,y,25,1,0.001,6.000
懿,0,y,25,1,0.001,6.000
荫,0,y,25,1,0.001,6.000
引,0,y,25,1,0.001,6.000
瑛,0,y,25,1,0.001,6.000
影,0,y,25,1,0.001,6.000
邮,0,y,25,1,0.001,6.000
予,0,y,25,1,0.001,6.000
芋,0,y,25,1,0.001,6.000
渊,0,y,25,1,0.001,6.000
跃,0,y,25,1,0.001,6.000
郓,0,y,25,1,0.001,6.000
蕴,0,y,25,1,0.001,6.000
皂,0,z,26,1,0.001,6.000
笮,0,z,26,1,0.001,6.000
绽,0,z,26,1,0.001,6.000
照,0,z,26,1,0.001,6.000
蓁,0,z,26,1,0.001,6.000
轸,0,z,26,1,0.001,6.000
蒸,0,z,26,1,0.001,6.000
证,0,z,26,1,0.001,6.000
专,0,z,26,1,0.001,6.000
颛孙,1,z,26,1,0.001,6.000
兹,0,z,26,1,0.001,6.000
子车,1,z,26,1,0.001,6.000
奏,0,z,26,1,0.001,6.000
遵,0,z,26,1,0.001,6.000
做,0,z,26,1,0.001,6.000
